goos: linux
goarch: amd64
pkg: maps-benchmark
cpu: INTEL(R) XEON(R) PLATINUM 8581C CPU @ 2.30GHz
BenchmarkMapInsert/10000      	   85048	    141194 ns/op	  295552 B/op	      33 allocs/op
BenchmarkMapInsert/10000      	   85710	    140614 ns/op	  295552 B/op	      33 allocs/op
BenchmarkMapInsert/10000      	   85140	    140962 ns/op	  295552 B/op	      33 allocs/op
BenchmarkMapInsert/10000      	   84883	    141558 ns/op	  295552 B/op	      33 allocs/op
BenchmarkMapInsert/10000      	   85278	    141106 ns/op	  295552 B/op	      33 allocs/op
BenchmarkMapInsert/10000      	   84996	    140990 ns/op	  295552 B/op	      33 allocs/op
BenchmarkMapInsert/10000      	   85231	    140637 ns/op	  295552 B/op	      33 allocs/op
BenchmarkMapInsert/10000      	   85393	    140741 ns/op	  295552 B/op	      33 allocs/op
BenchmarkMapInsert/10000      	   85144	    141191 ns/op	  295552 B/op	      33 allocs/op
BenchmarkMapInsert/10000      	   84721	    141052 ns/op	  295552 B/op	      33 allocs/op
BenchmarkMapInsert/10000      	   54417	    213606 ns/op	  295552 B/op	      33 allocs/op
BenchmarkMapInsert/10000      	   85246	    140762 ns/op	  295552 B/op	      33 allocs/op
BenchmarkMapInsert/10000      	   85195	    141213 ns/op	  295552 B/op	      33 allocs/op
BenchmarkMapInsert/10000      	   85609	    140984 ns/op	  295552 B/op	      33 allocs/op
BenchmarkMapInsert/10000      	   85170	    140738 ns/op	  295552 B/op	      33 allocs/op
BenchmarkMapInsert/100000     	    6159	   1933031 ns/op	 2364684 B/op	     257 allocs/op
BenchmarkMapInsert/100000     	    6205	   1926472 ns/op	 2364664 B/op	     257 allocs/op
BenchmarkMapInsert/100000     	    6213	   1936715 ns/op	 2364670 B/op	     257 allocs/op
BenchmarkMapInsert/100000     	    6205	   1930912 ns/op	 2364651 B/op	     257 allocs/op
BenchmarkMapInsert/100000     	    6204	   1936575 ns/op	 2364708 B/op	     257 allocs/op
BenchmarkMapInsert/100000     	    6172	   1935759 ns/op	 2364645 B/op	     257 allocs/op
BenchmarkMapInsert/100000     	    6169	   1935210 ns/op	 2364658 B/op	     257 allocs/op
BenchmarkMapInsert/100000     	    6172	   1936025 ns/op	 2364645 B/op	     257 allocs/op
BenchmarkMapInsert/100000     	    6142	   1935665 ns/op	 2364697 B/op	     257 allocs/op
BenchmarkMapInsert/100000     	    6182	   1933729 ns/op	 2364664 B/op	     257 allocs/op
BenchmarkMapInsert/100000     	    6165	   1932528 ns/op	 2364664 B/op	     257 allocs/op
